,previos,demand
2020-01-12,0,0
2020-01-19,0,0
2020-01-26,0,0
2020-02-02,0,0
2020-02-09,0,0
2020-02-16,0,0
2020-02-23,0,0
2020-03-01,0,0
2020-03-08,0,0
2020-03-15,0,0
2020-03-22,0,0
2020-03-29,0,0
2020-04-05,0,0
2020-04-12,0,0
2020-04-19,0,0
2020-04-26,0,0
2020-05-03,0,0
2020-05-10,0,0
2020-05-17,0,0
2020-05-24,0,0
2020-05-31,0,0
2020-06-07,0,0
2020-06-14,0,0
2020-06-21,0,0
2020-06-28,0,0
2020-07-05,0,0
2020-07-12,0,0
2020-07-19,0,0
2020-07-26,0,0
2020-08-02,0,0
2020-08-09,0,0
2020-08-16,0,0
2020-08-23,0,0
2020-08-30,0,0
2020-09-06,0,0
2020-09-13,0,0
2020-09-20,0,0
2020-09-27,0,0
2020-10-04,0,0
2020-10-11,0,0
2020-10-18,0,0
2020-10-25,0,0
2020-11-01,0,0
2020-11-08,0,0
2020-11-15,0,0
2020-11-22,0,0
2020-11-29,0,0
2020-12-06,0,0
2020-12-13,0,0
2020-12-20,0,0
2020-12-27,0,0
2021-01-03,0,0
2021-01-10,0,0
2021-01-17,21706,0
2021-01-24,17197,0
2021-01-31,0,0
2021-02-07,0,0
2021-02-14,0,0
2021-02-21,0,0
2021-02-28,0,0
2021-03-07,0,0
2021-03-14,0,0
2021-03-21,32256,0
2021-03-28,0,0
2021-04-04,0,0
2021-04-11,0,0
2021-04-18,0,0
2021-04-25,0,0
2021-05-02,0,0
2021-05-09,0,0
2021-05-16,0,0
2021-05-23,0,0
2021-05-30,29609,0
2021-06-06,0,0
2021-06-13,0,0
2021-06-20,0,0
2021-06-27,0,0
2021-07-04,0,0
2021-07-11,0,401025
2021-07-18,0,561435
2021-07-25,29548,561435
2021-08-01,0,561435
2021-08-08,0,568167
2021-08-15,0,626793
2021-08-22,0,692993
2021-08-29,0,692993
2021-09-05,0,692993
2021-09-12,0,669628
2021-09-19,36692,652988
2021-09-26,0,652988
2021-10-03,0,746272
2021-10-10,0,689088
2021-10-17,0,703033
2021-10-24,0,702835
2021-10-31,0,702835
2021-11-07,0,683829
2021-11-14,0,634934
2021-11-21,24571,633094
2021-11-28,18393,640020
2021-12-05,0,657335
2021-12-12,0,670391
2021-12-19,0,676459
2021-12-26,0,676459
2022-01-02,0,676969
2022-01-09,0,699482
2022-01-16,0,714884
2022-01-23,0,723632
2022-01-30,0,724712
2022-02-06,0,738974
2022-02-13,25080,750670
2022-02-20,25059,745360
2022-02-27,0,746029
2022-03-06,0,640218
2022-03-13,0,734181
2022-03-20,0,735420
2022-03-27,0,735420
2022-04-03,0,734860
2022-04-10,0,753568
2022-04-17,0,758974
2022-04-24,0,755524
2022-05-01,29952,756384
2022-05-08,0,754643
2022-05-15,0,748078
2022-05-22,0,746578
2022-05-29,0,746462
2022-06-05,0,746172
2022-06-12,0,757956
2022-06-19,0,763665
2022-06-26,0,763665
2022-07-03,0,764223
2022-07-10,0,770448
2022-07-17,0,779412
2022-07-24,0,780003
2022-07-31,0,780279
2022-08-07,0,778904
2022-08-14,0,769181
2022-08-21,0,773591
2022-08-28,0,773513
2022-09-04,0,773045
2022-09-11,0,772909
2022-09-18,0,766381
2022-09-25,0,765310
2022-10-02,0,874675
2022-10-09,0,788420
2022-10-16,0,823179
2022-10-23,0,828527
2022-10-30,0,829574
2022-11-06,0,830970
2022-11-13,0,701142
2022-11-20,0,693084
2022-11-27,0,693084
2022-12-04,0,687092
2022-12-11,0,696228
2022-12-18,0,708215
2022-12-25,0,710269
2023-01-01,0,710629
2023-01-08,0,726595
2023-01-15,0,744495
2023-01-22,0,759815
2023-01-29,0,760575
