dates,diferenceNro,difference,production,demand,lot_size,isPrevios
2021-02-21,0.0,0.0,0.0,0,0.0,0.0
2021-02-28,0.0,0.0,0.0,0,0.0,0.0
2021-03-07,0.0,0.0,0.0,0,0.0,0.0
2021-03-14,0.0,0.0,0.0,0,0.0,0.0
2021-03-21,0.0,0.0,0.0,0,0.0,0.0
2021-03-28,0.0,0.0,0.0,0,0.0,0.0
2021-04-04,0.0,0.0,0.0,0,14799.0,0.0
2021-04-11,45728.90999999999,0.0,45728.90999999999,0,4000.0,0.0
2021-04-18,62972.58,0.0,62972.58,0,0.0,0.0
2021-04-25,65920.47,0.0,65920.47,0,0.0,0.0
2021-05-02,67692.37999999999,0.0,67692.37999999999,0,0.0,0.0
2021-05-09,69236.3,0.0,69236.3,0,0.0,0.0
2021-05-16,71036.2,0.0,71036.2,0,0.0,0.0
2021-05-23,72768.11,0.0,72768.11,0,0.0,0.0
2021-05-30,74016.04999999999,0.0,74016.04999999999,0,0.0,0.0
2021-06-06,76771.87999999999,0.0,76771.87999999999,0,0.0,0.0
2021-06-13,78635.80000000002,0.0,78635.80000000002,0,0.0,0.0
2021-06-20,80287.70999999999,0.0,80287.70999999999,0,18133.0,0.0
2021-06-27,137862.59999999998,0.0,137862.59999999998,0,5861.0,0.0
2021-07-04,163608.89,0.0,163608.89,0,0.0,0.0
2021-07-11,-47285.22999999998,-11.791092824636863,353739.77,401025,4000.0,0.0
2021-07-18,-370966.81,-66.07475665036914,190468.19,561435,0.0,0.0
2021-07-25,-366472.72,-65.27429177019602,194962.28,561435,0.0,0.0
2021-08-01,-362498.72,-64.5664627249815,198936.28,561435,0.0,0.0
2021-08-08,-366127.31,-64.44008715747307,202039.69,568167,0.0,0.0
2021-08-15,-405135.89,-64.6363137431337,221657.11,626793,4647.0,0.0
2021-08-22,-465195.47,-67.12845151394026,227797.53000000003,692993,0.0,0.0
2021-08-29,-460463.55,-66.44562787791507,232529.45,692993,0.0,0.0
2021-09-05,-456247.24,-65.83720759084146,236745.76,692993,0.0,0.0
2021-09-12,-429149.68,-64.08777410741486,240478.32,669628,0.0,0.0
2021-09-19,-408718.93,-62.59210429594418,244269.07,652988,0.0,0.0
2021-09-26,-404593.07,-61.960261138030106,248394.93,652988,0.0,0.0
2021-10-03,-424998.83,-56.949588085845384,321273.17,746272,22268.0,0.0
2021-10-10,-201355.8,-29.220622039565335,487732.2,689088,50000.0,0.0
2021-10-17,-167647.63000000012,-23.84633864982158,535385.3699999999,703033,8102.0,0.0
2021-10-24,-154123.41000000003,-21.92881828594194,548711.59,702835,0.0,0.0
2021-10-31,-144108.69999999995,-20.50391628191538,558726.3,702835,0.0,0.0
2021-11-07,-79195.34000000008,-11.58116137221441,604633.6599999999,683829,11245.0,0.0
